Ver,11
DevCount,1,TextFormat,1
DevName,XBPQDYZ,LinkCount,316
NodePath,TagName,TagDesc,ParName,LinkDesc,驱动标志,modbus驱动标志,位起始位,扫描周期,使能位,数据类型,I/O数据地址,是否位访问,表示读取数据时需要获取的数据长度,高字节在前0低字节在前1高位在前,读写标志,取反(读出时),文件号,显示数据的格式,显示小数位的个数(若为一位 则 表示字节内部的高低字节 0 低字节 1 高字节)
西部片区调压站\,testSDV101A_ZI_HH,至新捷调节阀阀位_HH报警,PV,DO3224,DO3224,-9999,0,0,0,1,3223,0,1,0,0,1,2,0,0
西部片区调压站\,testSDV101A_ZI_whz,至新捷调节阀阀位_维护设定,PV,HR Float:3315,HR Float:3315,-9999,0,0,0,2,3314,0,4,0,0,1,7,0,0
西部片区调压站\,testSDV101A_ZI_whzzt,至新捷调节阀阀位_维护使能,PV,DO3225,DO3225,-9999,0,0,0,1,3224,0,1,0,0,1,2,0,0
西部片区调压站\,testSDV101B_ZI,新捷进口调节阀阀位,PV,HR Float:3317,HR Float:3317,-9999,0,0,0,2,3316,0,4,0,0,1,7,0,0
西部片区调压站\,testSDV101B_ZI_LoLoLimit,新捷进口调节阀阀位_SLL设定,PV,HR Float:3319,HR Float:3319,-9999,0,0,0,2,3318,0,4,0,0,1,7,0,0
西部片区调压站\,testSDV101B_ZI_LoLimit,新捷进口调节阀阀位_SL设定,PV,HR Float:3321,HR Float:3321,-9999,0,0,0,2,3320,0,4,0,0,1,7,0,0
西部片区调压站\,testSDV101B_ZI_HiLimit,新捷进口调节阀阀位_SH设定,PV,HR Float:3323,HR Float:3323,-9999,0,0,0,2,3322,0,4,0,0,1,7,0,0
西部片区调压站\,testSDV101B_ZI_HiHiLimit,新捷进口调节阀阀位_SHH设定,PV,HR Float:3325,HR Float:3325,-9999,0,0,0,2,3324,0,4,0,0,1,7,0,0
西部片区调压站\,testSDV101B_ZI_LL,新捷进口调节阀阀位_LL报警,PV,DO3226,DO3226,-9999,0,0,0,1,3225,0,1,0,0,1,2,0,0
西部片区调压站\,testSDV101B_ZI_L,新捷进口调节阀阀位_L报警,PV,DO3227,DO3227,-9999,0,0,0,1,3226,0,1,0,0,1,2,0,0
西部片区调压站\,testSDV101B_ZI_H,新捷进口调节阀阀位_H报警,PV,DO3228,DO3228,-9999,0,0,0,1,3227,0,1,0,0,1,2,0,0
西部片区调压站\,testSDV101B_ZI_HH,新捷进口调节阀阀位_HH报警,PV,DO3229,DO3229,-9999,0,0,0,1,3228,0,1,0,0,1,2,0,0
